"Sample_name","SBS9_status"
"PB08410-BLBM-BCELLP5G10","Positive"
"PRN4GPDBBC07","Positive"
"PJBUGTDBBC59","Positive"
"PJBUGTDBBC68","Positive"
"PJBUGTDBBC69","Positive"
"PJBUGTDBBC70","Positive"
"PJBUGTDBBC74","Positive"
"PJBUGTDBBC79","Positive"
"PJBUGTDBBC81","Positive"
"PVA9GTDBBC69","Positive"
"PVA9GTDBBC76","Positive"
"PB11197-BLASC-BCELLP2B4","Positive"
"PB11197-BLASC-BCELLP2F4","Positive"
"P3G6GPDABC31","Positive"
"P856GDDUBC42","Positive"
"PIA9GTDBBC53","Positive"
"PIA9GTDBBC54","Positive"
"PIA9GTDBBC59","Positive"
"PIA9GTDBBC60","Positive"
"PIA9GTDBBC61","Positive"
"PIA9GTDBBC62","Positive"
"PIA9GTDBBC65","Positive"
"PIA9GTDBBC67","Positive"
"PIA9GTDBBC68","Positive"
"PIA9GTDBBC69","Positive"
"PIA9GTDBBC72","Positive"
"PIA9GTDBBC74","Positive"
"PIA9GTDBBC76","Positive"
"PB08410-BLBM-BCELLP2C8","Negative"
"PJBUGTDBBC63","Negative"
"PJBUGTDBBC64","Negative"
"PJBUGTDBBC65","Negative"
"PJBUGTDBBC67","Negative"
"PJBUGTDBBC71","Negative"
"PJBUGTDBBC72","Negative"
"PJBUGTDBBC73","Negative"
"PJBUGTDBBC76","Negative"
"PJBUGTDBBC80","Negative"
"PVA9GTDBBC63","Negative"
"PVA9GTDBBC65","Negative"
"PVA9GTDBBC66","Negative"
"PVA9GTDBBC67","Negative"
"PVA9GTDBBC68","Negative"
"PVA9GTDBBC70","Negative"
"PVA9GTDBBC73","Negative"
"PVA9GTDBBC74","Negative"
"PVA9GTDBBC77","Negative"
"PB11197-BLASC-BCELLP2C4","Negative"
"PB11197-BLASC-BCELLP2D4","Negative"
"PB11197-BLASC-BCELLP2E4","Negative"
"P856GDDUBC44","Negative"
"PIA9GTDBBC52","Negative"
"PIA9GTDBBC55","Negative"
"PIA9GTDBBC56","Negative"
"PIA9GTDBBC57","Negative"
"PIA9GTDBBC58","Negative"
"PIA9GTDBBC63","Negative"
"PIA9GTDBBC64","Negative"
"PIA9GTDBBC66","Negative"
"PIA9GTDBBC71","Negative"
"PIA9GTDBBC73","Negative"
"PIA9GTDBBC75","Negative"
"PIA9GTDBBC77","Negative"
